Step,PolicyLoss,ValueLoss,EntropyLoss,OutboundLoss,WeightsPolicyLoss,ExplorationLoss
0,-3094.82080078125,117739.828125,-0.26791685819625854,0.018268710002303123,7.150068664550782,-3101.703125
1,-1887.1268310546875,354067.875,-0.2139507532119751,0.021069016307592392,7.1481575012207035,-1894.06103515625
2,-5201.650390625,241338.109375,-0.2302519530057907,0.019026173278689384,7.146302032470704,-5208.56640625
3,-3592.68896484375,57082.8125,-0.24018703401088715,0.01908283494412899,7.144540405273438,-3599.59326171875
4,-5109.73095703125,105413.25,-0.22245673835277557,0.017035914584994316,7.142792510986329,-5116.65087890625
5,-5494.00146484375,129869.671875,-0.27137407660484314,0.02035105600953102,7.141049957275391,-5500.87109375
6,-2978.576904296875,218832.84375,-0.23385484516620636,0.01793024316430092,7.139311981201172,-2985.482421875
7,-3654.072021484375,53950.85546875,-0.23298576474189758,0.019298797473311424,7.1375778198242195,-3660.976806640625
8,-4805.77587890625,159333.25,-0.22101283073425293,0.021505458280444145,7.1358482360839846,-4812.6904296875
9,-5370.40380859375,187874.859375,-0.21426378190517426,0.01771908812224865,7.134127044677735,-5377.32373046875
10,-5001.37939453125,185992.8125,-0.21994303166866302,0.020442727953195572,7.1324310302734375,-5008.2919921875
11,-3855.3603515625,109301.484375,-0.23394279181957245,0.019328752532601357,7.130738067626954,-3862.25732421875
12,-6276.142578125,171911.09375,-0.22144220769405365,0.008710196241736412,7.129047393798828,-6283.0498046875
13,-1429.9693603515625,60323.83203125,-0.21650104224681854,0.018815873190760612,7.127359008789063,-1436.880126953125
14,-2470.305419921875,153923.953125,-0.21522489190101624,0.020008649677038193,7.125684356689454,-2477.2158203125
15,-4064.63330078125,348585.3125,-0.2813519537448883,0.015916939824819565,7.124015808105469,-4071.47607421875
16,-2280.735595703125,68743.328125,-0.2122577279806137,0.018641484901309013,7.1223495483398445,-2287.645751953125
17,-17.0542049407959,112762.484375,-0.22524718940258026,0.017642855644226074,7.120687866210938,-23.94964599609375
18,2608.6298828125,43757.33203125,-0.22851133346557617,0.019078662618994713,7.119024658203125,2601.7392578125
19,-626.1867065429688,61637.91796875,-0.21804766356945038,0.018113262951374054,7.117362976074219,-633.0860595703125
20,-2910.158447265625,206211.9375,-0.22656011581420898,0.019159626215696335,7.115704345703126,-2917.047607421875
21,-1739.0130615234375,45951.85546875,-0.21840797364711761,0.016508929431438446,7.114044952392579,-1745.90869140625
22,-2968.197509765625,200255.5625,-0.21106214821338654,0.0201640073210001,7.112388610839844,-2975.0986328125
23,-2148.523681640625,147878.265625,-0.22233496606349945,0.02130693756043911,7.110736083984375,-2155.412109375
24,-2432.349609375,153926.25,-0.22303254902362823,0.01743275858461857,7.1090843200683596,-2439.235595703125
25,-5545.9521484375,304985.84375,-0.2028394490480423,0.01061036717146635,7.1074363708496096,-5552.85693359375
26,-24945.3203125,189291.515625,-0.23615489900112152,0.018841365352272987,7.105790710449219,-24952.189453125
27,-18037.296875,248780.984375,-0.24475128948688507,0.01750277355313301,7.104153442382813,-18044.15625
28,-11352.5361328125,93427.9140625,-0.24394865334033966,0.016969671472907066,7.102518463134766,-11359.39453125
29,-17428.74609375,113007.8359375,-0.23938551545143127,0.019664576277136803,7.100889587402344,-17435.607421875
30,-17571.994140625,60852.57421875,-0.26625797152519226,0.02160097099840641,7.099261474609375,-17578.828125
